"Name_game","Publisher","Genre","Year_release","Score"
"Infinite Space","Sega","Role-Playing",2010,7.2
"Innocent Life: A Futuristic Harvest Moon","Rising Star","Strategy",2010,6.5
"Invizimals","Sony Computer Entertainment","Strategy",2010,6.6
"Iron Man 2","Sega","Action",2010,5.1
"Ivy the Kiwi?","Xseed Games","Puzzle",2010,7.5
"James Bond 007: Blood Stone","Activision","Action",2010,7
"JellyCar 2","Disney Interactive Studios","Racing",2010,3.5
"Jewel Keepers: Easter Island","Nordcurrent","Puzzle",2010,6
"Just Cause 2","Eidos Interactive","Action",2010,8.2
"Just Cause 2","Square Enix","Action",2010,8.3
"Just Dance 2","Ubisoft","Misc",2010,7.3
"Kane & Lynch 2: Dog Days","Square Enix","Shooter",2010,6.5
"Kinect Adventures!","Microsoft Game Studios","Party",2010,6.7
"Kinect Joy Ride","Microsoft Game Studios","Racing",2010,5.6
"Kinect Sports","Microsoft Game Studios","Sports",2010,7.4
"Kinectimals","Microsoft Game Studios","Simulation",2010,7.5
"Kingdom Hearts: Birth by Sleep","Square Enix","Role-Playing",2010,7.9
"Kirby's Epic Yarn","Nintendo","Platform",2010,8.7
"KrissX","Microsoft","Puzzle",2010,6.5
"Kung Fu Rider","Sony Computer Entertainment","Action",2010,4.3
"Lara Croft and the Guardian of Light","Square Enix","Adventure",2010,8.6
"Last Rebellion","NIS America","Role-Playing",2010,4.8
"Last Window: The Secret of Cape West","Nintendo","Adventure",2010,7.3
"Lazy Raiders","Sarbakan","Action",2010,7.8
"Learning with the PooYoos: Episode 2","Lexis Numerique","Misc",2010,7
"Left 4 Dead 2: The Passing","Electronic Arts","Shooter",2010,6
"Left 4 Dead 2: The Passing","Valve","Shooter",2010,6
"LEGO Harry Potter: Years 1-4","Warner Bros. Interactive","Adventure",2010,8.2
"lilt line","Gaijin Entertainment","Racing",2010,6.2
"Lionheart: Kings' Crusade","Paradox Interactive","Strategy",2010,6.3
"Lost Planet 2","Capcom","Shooter",2010,6.6
"Lufia: Curse of the Sinistrals","Natsume","Role-Playing",2010,7.8
"Lunar: Silver Star Harmony","Xseed Games","Role-Playing",2010,7.9
"Madden NFL 11","EA Sports","Sports",2010,8.4
"Mafia II","2K Games","Action",2010,7.6
"MAG: Massive Action Game","Sony Computer Entertainment","Shooter",2010,8.45
"Magic: The Gathering - Duels of the Planeswalkers","Wizards of the Coast","Strategy",2010,7.5
"Majesty 2: Battles of Ardania","Paradox Interactive","Strategy",2010,4.5
"Majin and the Forsaken Kingdom","Namco Bandai","Adventure",2010,7
"Major League Baseball 2K10","2K Sports","Sports",2010,7.4
"Mario vs. Donkey Kong: Mini-Land Mayhem!","Nintendo","Puzzle",2010,7.8
"Marvel Super Hero Squad: The Infinity Gauntlet","THQ","Action",2010,4.8
"Mass Effect 2","Electronic Arts","Role-Playing",2010,9.25
"Mass Effect 2: Kasumi's Stolen Memory","Electronic Arts","Role-Playing",2010,7.2
"Mass Effect 2: Lair of the Shadow Broker","Electronic Arts","Role-Playing",2010,8.7
"Mass Effect 2: Overlord","Electronic Arts","Role-Playing",2010,8.8
"Matt Hazard: Blood Bath and Beyond","D3 Publisher","Shooter",2010,6.6
"Max & the Magic Marker","Press Play","Platform",2010,7
"Mega Man 10","Capcom","Platform",2010,8.4
"Mega Man Zero Collection","Capcom","Platform",2010,7.5
"Metal Gear Solid: Peace Walker","Konami","Action",2010,8.6
"Metal Slug XX","Atlus","Shooter",2010,6.9
"METRO 2033","THQ","Shooter",2010,7.5
"Metroid: Other M","Nintendo","Action",2010,7.7
"Michael Jackson: The Experience","Ubisoft","Misc",2010,5.6
"MicroBot","Electronic Arts","Shooter",2010,6.4
"Minecraft","Mojang","Misc",2010,10
"MLB 10: The Show","Sony Computer Entertainment","Sports",2010,8.6
"ModNation Racers","Sony Computer Entertainment","Racing",2010,8.1
"Monday Night Combat","Uber Entertainment","Shooter",2010,8
"Monopoly Streets","Electronic Arts","Misc",2010,6.7
"Monster Hunter Tri","Capcom","Role-Playing",2010,9.05
"Monsters (Probably) Stole My Princess!","Mediatonic","Platform",2010,8.7
"MotionSports","Ubisoft","Sports",2010,4.1
"MotoGP 09/10","Capcom","Racing",2010,7
"Mr. Driller: Drill Till You Drop","Namco Bandai","Puzzle",2010,6.5
"Muscle March","Namco Bandai","Action",2010,6.6
"MySims SkyHeroes","Electronic Arts","Action",2010,6.4
"Napoleon: Total War","Sega","Strategy",2010,8.5
"Naruto Shippuden: Dragon Blade Chronicles","Atlus","Action",2010,4.3
"Naruto Shippuden: Ultimate Ninja Storm 2","Namco Bandai","Fighting",2010,7.6
"Naughty Bear","505 Games","Action",2010,4.5
"NBA 2K11","2K Sports","Sports",2010,8.8
"NBA Jam","EA Sports","Sports",2010,8
"NCAA Football 11","EA Sports","Sports",2010,8.5
"Need for Speed: Hot Pursuit","Electronic Arts","Racing",2010,8.9
"NHL 11","EA Sports","Sports",2010,8.8
"NHL 2K11","2K Sports","Sports",2010,6.3
"NHL Slapshot","EA Sports","Sports",2010,7.6
"NieR","Square Enix","Role-Playing",2010,6.6
"Nimbus","Unknown","Puzzle",2010,8
"No Heroes Allowed!","Sony Computer Entertainment","Strategy",2010,7
"No More Heroes 2: Desperate Struggle","Ubisoft","Action",2010,8.5
"Ogre Battle 64: Person of Lordly Caliber","Square Enix","Role-Playing",2010,9
"Pac-Man Championship Edition DX","Namco Bandai","Puzzle",2010,9.4
"Patchwork Heroes","Sony Computer Entertainment","Strategy",2010,8.3
"Patrician IV","Kalypso","Strategy",2010,6.7
"Perfect Dark","Microsoft Game Studios","Shooter",2010,8.2
"Phantasy Star Portable 2","Sega","Role-Playing",2010,7.4
"Picross 3D","Nintendo","Puzzle",2010,8.7
"Pinball FX 2","Microsoft","Misc",2010,9.5
"Pinball FX 2: Marvel Pinball","Zen Studios","Misc",2010,8.2
"PixelJunk Racers: 2nd Lap","Sony Computer Entertainment","Racing",2010,6.6
"Plain Sight","Beatnik Games","Action",2010,7.2
"Pokemon Heart Gold / Soul Silver Version","Nintendo","Role-Playing",2010,8.6
"Pokemon Ranger: Guardian Signs","Nintendo","Role-Playing",2010,6.5
"Poker Night at the Inventory","Telltale Games","Misc",2010,8
"Pound of Ground","Unknown","Shooter",2010,3.5
"Power Gig: Rise of the SixString","Unknown","Misc",2010,3.9
"Prince of Persia: The Forgotten Sands","Ubisoft","Action",2010,7.5
"Prison Break: The Conspiracy","Deep Silver","Adventure",2010,3.3
"Pro Evolution Soccer 2011","Konami","Sports",2010,6
"Professor Layton and the Unwound Future","Nintendo","Adventure",2010,8.4
"Pure Futbol","Ubisoft","Sports",2010,4
"Puzzle Agent","Telltale Games","Puzzle",2010,7
"Puzzle Chronicles","Konami","Puzzle",2010,6.5
"Puzzle Dimension","Unknown","Puzzle",2010,8
"Quake Arena Arcade","Bethesda Softworks","Shooter",2010,7.1
"R.U.S.E.","Ubisoft","Strategy",2010,8
"Racquet Sports","Ubisoft","Sports",2010,4.2
"radiangames Crossfire","Microsoft","Shooter",2010,6
"Rage of the Gladiator","Ghostfire Games","Fighting",2010,8
"Ragnarok DS","Xseed Games","Role-Playing",2010,7
"Raskulls","Halfbrick Studios","Puzzle",2010,7.4
"Recettear: An Item Shop's Tale","Unknown","Role-Playing",2010,8.3
"Record of Agarest War","Aksys Games","Role-Playing",2010,7
"Red Dead Redemption","Rockstar Games","Action",2010,9.75
"Red Dead Redemption: Undead Nightmare","Rockstar Games","Action",2010,10
"Red Steel 2","Ubisoft","Shooter",2010,8.15
"Resident Evil 5: Gold Edition","Capcom","Action",2010,9.3
"Resonance of Fate","Sega","Role-Playing",2010,7.85
"Revenge of the Titans","Puppy Games","Strategy",2010,8
"Robox","Unknown","Platform",2010,4.5
"Rock Band 3","MTV Games","Misc",2010,9.4
"Rock of the Dead","Conspiracy Entertainment","Shooter",2010,5
"Rocket Knight","Konami","Platform",2010,7.6
"Rooms: The Main Building","Hudson Soft","Adventure",2010,7
"Rune Factory 3: A Fantasy Harvest Moon","Natsume","Role-Playing",2010,8
"S.T.A.L.K.E.R.: Call of Pripyat","Viva Media","Shooter",2010,8
"Sackboy's Prehistoric Moves","Sony Computer Entertainment","Platform",2010,6.7
"Sakura Wars: So Long, My Love","NIS America","Role-Playing",2010,8.8
"Samurai Shodown Sen","Xseed Games","Fighting",2010,4.8
"Samurai Warriors 3","Nintendo","Action",2010,5.1
"Sands of Destruction","Sega","Role-Playing",2010,6.5
"Save the Turtles","Sabarasa Entertainment","Puzzle",2010,8
"Saw II: Flesh & Blood","Konami","Action",2010,4.9
"Scooby-Doo! and the Spooky Swamp","Warner Bros. Interactive","Action",2010,7.6
"Scott Pilgrim vs. The World","Ubisoft","Action",2010,8.2
"Scrap Metal","Microsoft","Racing",2010,7.6
"Sengoku Basara: Samurai Heroes","Capcom","Action",2010,6.1
"Serious Sam HD: The First Encounter","Majesco","Shooter",2010,7
"Shank","Electronic Arts","Action",2010,7.1
"Shantae: Risky's Revenge","WayForward","Platform",2010,8.1
"Shaun White Skateboarding","Ubisoft","Sports",2010,6.6
"Shin Megami Tensei: Persona 3 Portable","Atlus","Role-Playing",2010,8.9
"Shin Megami Tensei: Strange Journey","Atlus","Role-Playing",2010,8
"Shiren the Wanderer","Atlus","Role-Playing",2010,7.4
"Shoot 1UP","Microsoft Game Studios","Shooter",2010,8
"Sid Meier's Civilization V","2K Games","Strategy",2010,8.9
"Sin and Punishment: Star Successor","Nintendo","Shooter",2010,8.4
"Singularity","Activision","Shooter",2010,7.8
"Skate 3","EA Sports","Sports",2010,8.3
"Sniper: Ghost Warrior","City Interactive","Shooter",2010,5.4
"Snoopy Flying Ace","Microsoft","Action",2010,8.1
"SOCOM: U.S. Navy SEALs Fireteam Bravo 3","Sony Computer Entertainment","Shooter",2010,7.5
"Soldner-X 2: Final Prototype","EastAsiaSoft","Shooter",2010,6.8
"Sonic & SEGA All-Stars Racing","Sega","Racing",2010,8.3
"Sonic & SEGA All-Stars Racing with Banjo-Kazooie","Sega","Racing",2010,7.7
"Sonic Classic Collection","Sega","Platform",2010,7.5
"Sonic Colors","Sega","Platform",2010,8.2
"Sonic Free Riders","Sega","Racing",2010,4.9
"Sonic the Hedgehog 4: Episode 1","Sega","Platform",2010,7.7
"Space Invaders Infinity Gene","Square Enix","Shooter",2010,8.3
"Spider-Man: Shattered Dimensions","Activision","Action",2010,8.2
"Split/Second","Disney Interactive Studios","Racing",2010,8.4
"Sports Champions","Sony Computer Entertainment","Sports",2010,7.6
"Star Ocean: The Last Hope International","Square Enix","Role-Playing",2010,8.8
"Star Trek Online","Atari","Role-Playing",2010,5.9
"Star Wars: The Force Unleashed II","LucasArts","Action",2010,7.5
"Star Wars: The Force Unleashed II - Endor Bonus Mission","LucasArts","Action",2010,6
"StarCraft II: Wings of Liberty","Blizzard Entertainment","Strategy",2010,9.3
"Starship Defense","Nintendo","Action",2010,8.5
"Start the Party!","Sony Computer Entertainment","Misc",2010,6.1
"Super Mario All-Stars: Limited Edition","Nintendo","Platform",2010,7.2
"Super Mario Galaxy 2","Nintendo","Platform",2010,9.75
"Super Meat Boy","Microsoft","Platform",2010,9
"Super Monkey Ball: Step & Roll","Sega","Action",2010,6
"Super Scribblenauts","Warner Bros. Interactive","Puzzle",2010,7.9
"Super Street Fighter IV","Capcom","Fighting",2010,9.3
"Super Yum Yum: Puzzle Adventures","Mastertronic","Puzzle",2010,3
"Supreme Commander 2","Square Enix","Strategy",2010,8.2
"Tatsunoko vs. Capcom: Ultimate All-Stars","Capcom","Fighting",2010,8.3
"Tetris Party Deluxe","Majesco","Puzzle",2010,7.3
"The Biggest Loser: Ultimate Workout","THQ","Sports",2010,8
"The Fight: Lights Out","Sony Computer Entertainment","Fighting",2010,4.7
"The Lord of the Rings: Aragorn's Quest","Warner Bros. Interactive","Action",2010,6.4
"The Misadventures of P.B. Winterbottom","2K Games","Puzzle",2010,8.1
"The Misadventures of P.B. Winterbottom","2K Play","Puzzle",2010,8.4
"The Settlers 7: Paths to a Kingdom","Ubisoft","Strategy",2010,7.8
"The Sims 3: Ambitions","Electronic Arts","Simulation",2010,7.9
"The Sims 3: Late Night Expansion Pack","Electronic Arts","Simulation",2010,7.5
"The Sky Crawlers: Innocent Aces","Xseed Games","Simulation",2010,7.3
"The Sly Collection","Sony Computer Entertainment","Platform",2010,8.7
"The UnderGarden","Atari","Puzzle",2010,6.4
"Tidalis","Arcen Games, LLC","Puzzle",2010,7
"Tiger Woods PGA Tour 11","EA Sports","Sports",2010,8.3
"Time Crisis: Razing Storm","Namco Bandai","Shooter",2010,5.8
"TNA iMPACT: Cross the Line","SouthPeak Interactive","Fighting",2010,3.5
"Tom Clancy's Splinter Cell: Conviction","Ubisoft","Action",2010,8.6
"Toy Soldiers","Microsoft","Strategy",2010,8.4
"Toy Story 3: The Video Game","Disney Interactive Studios","Action",2010,7.5
"Trajectile","Nintendo","Puzzle",2010,6.7
"Transformers: Cybertron Adventures","Activision","Action",2010,3.7
"Transformers: War for Cybertron","Activision","Action",2010,7.8
"Trauma Team","Atlus","Simulation",2010,8.1
"Trinity Universe","NIS America","Role-Playing",2010,6.2
"Triple Shot Sports","The Code Monkeys","Sports",2010,2
"Tumble","Sony Computer Entertainment","Puzzle",2010,7.2
"TV Superstars","Sony Computer Entertainment","Misc",2010,6.2
"Twin Sector","Headup Games","Action",2010,4.2
"UFC Undisputed 2010","THQ","Fighting",2010,8.6
"Valkyria Chronicles II","Sega","Role-Playing",2010,8.1
"Valkyria Chronicles: Challenges from Team Edy","Sega","Role-Playing",2010,8
"Vancouver 2010 - The Official Video Game of the Olympic Winter Games","Sega","Sports",2010,5
"Vandal Hearts: Flames of Judgment","Konami","Role-Playing",2010,6.9
"Vanquish","Sega","Shooter",2010,8.5
"Victoria II","Paradox Interactive","Strategy",2010,8.1
"VT Tennis","Virtual Toys","Sports",2010,4
"VVVVVV","Terry Cavanagh","Platform",2010,7.8
"Warhammer 40,000: Dawn of War II - Chaos Rising","THQ","Strategy",2010,8.6
"WarioWare D.I.Y.","Nintendo","Misc",2010,8.3
"White Knight Chronicles: International Edition","Sony Computer Entertainment","Role-Playing",2010,7.1
"Who's That Flying?!","Mediatonic","Shooter",2010,7.7
"Wii Party","Nintendo","Misc",2010,7
"Wings of Prey","YuPlay","Simulation",2010,8.3
"World of Warcraft: Cataclysm","Blizzard Entertainment","MMO",2010,9
"Worms Reloaded","Team17 Software","Strategy",2010,8.5
"Worms: Battle Islands","Team17 Software","Strategy",2010,7.3
"WWE SmackDown vs. Raw 2011","THQ","Fighting",2010,7.1
"X-Men Arcade","Konami","Action",2010,7.6
"Yakuza 3","Sega","Adventure",2010,7.9
"Your Shape: Fitness Evolved","Ubisoft","Sports",2010,7
"Ys Seven","Xseed Games","Role-Playing",2010,7.6
"Ys: The Oath in Felghana","Xseed Games","Role-Playing",2010,8.2
"Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia","Konami","Strategy",2010,7.6
"Z.H.P. Unlosing Ranger vs Darkdeath Evilman","NIS America","Role-Playing",2010,8
"Zenonia","Gamevil","Role-Playing",2010,8
"Zombie Panic in Wonderland","Akaoni Studio","Shooter",2010,6
".deTuned","Sony Computer Entertainment","Misc",2009,4.5
"'Splosion Man","Twisted Pixel Games","Platform",2009,8.4
"[Prototype]","Activision","Action",2009,8.1
"0 day Attack on Earth","Square Enix","Shooter",2009,4.2
"3 on 3 NHL Arcade","Electronic Arts","Sports",2009,7.2
"50 Cent: Blood on the Sand","THQ","Shooter",2009,7.3
"A Boy and His Blob","Majesco","Platform",2009,7.9
"A Witch's Tale","NIS America","Role-Playing",2009,5
"Academy of Champions: Soccer","Ubisoft","Sports",2009,7.1
"AFL Challenge","Sony Computer Entertainment","Sports",2009,3
"Afrika","Natsume","Adventure",2009,7
"Afro Samurai","Namco Bandai","Action",2009,6.5
"Agatha Christie: The ABC Murders","DreamCatcher Interactive","Adventure",2009,6
"Aion: Tower of Eternity","NCSoft","Role-Playing",2009,7.4
"Air Conflicts: Aces of World War II","Graffiti","Simulation",2009,3.3
"Alien Breed 1: Evolution","Team17 Software","Shooter",2009,6.35
"And Yet It Moves","Broken Rules","Platform",2009,8.4
"Another Code R: A Journey into Lost Memories","Nintendo","Adventure",2009,5.9
"Ant Nation","Konami","Simulation",2009,4.1
"Ar tonelico 2: Melody of Metafalica","NIS America","Role-Playing",2009,7.2
"Arcade Bowling","Skyworks Interactive","Sports",2009,5.5
"Are You Smarter than a 5th Grader? Game Time","THQ","Puzzle",2009,4
"Armored Core SL: Silent Line Portable","From Software","Simulation",2009,5.8
"Art Style: AQUIA","Nintendo","Puzzle",2009,7.5
"Art Style: PiCTOBiTS","Nintendo","Puzzle",2009,7.7
"Ashes Cricket 2009","Codemasters","Sports",2009,6.8
"Assassin's Creed II","Ubisoft","Action",2009,9.2
"Assassin's Creed II: Discovery","Ubisoft","Platform",2009,7.3
"Assassin's Creed: Bloodlines","Ubisoft","Action",2009,6.3
"Astro Boy: The Video Game","D3 Publisher","Action",2009,7
"Astro Match3","Microsoft","Puzzle",2009,10
"Astro Tripper","PomPom","Shooter",2009,7.3
"Avalon Code","Marvelous Interactive","Role-Playing",2009,7.1
"Axel & Pixel","2K Games","Adventure",2009,6.9
"Bakugan: Battle Brawlers","Activision","Action",2009,6.4
"Band Hero","Activision","Misc",2009,7.6
"Batman: Arkham Asylum","Eidos Interactive","Action",2009,9.3
"Battle Fantasia","505 Games","Fighting",2009,7
"Battlefield 1943","Electronic Arts","Shooter",2009,8.5
"Battlefield Heroes","Electronic Arts","Shooter",2009,5
"Beaterator","Rockstar Games","Misc",2009,7.9
"Big Bang Mini","SouthPeak Interactive","Shooter",2009,8
"Bionic Commando","Capcom","Adventure",2009,7.55
"BIT.TRIP BEAT","Aksys Games","Misc",2009,7.5
"BIT.TRIP CORE","Aksys Games","Misc",2009,7.6
"BIT.TRIP VOID","Aksys Games","Misc",2009,8.2
"Black Sigil: Blade of the Exiled","Graffiti","Role-Playing",2009,6
"Blast Off","Halfbrick Studios","Action",2009,8.5
"BlazBlue: Calamity Trigger","Aksys Games","Fighting",2009,8.5
"Blue Dragon Plus","Ignition Entertainment","Role-Playing",2009,6.5
"Blueberry Garden","Erik Svedang","Adventure",2009,5.3
"Bobby Carrot Forever","Unknown","Adventure",2009,7
"Bomberman Ultra","Hudson Soft","Puzzle",2009,8
"Bookworm Adventures Volume 2","PopCap Games","Puzzle",2009,8.3
"Boom Blox Bash Party","Electronic Arts","Puzzle",2009,8.8
"Borderlands","2K Games","Shooter",2009,8.3
"Borderlands: Mad Moxxi's Underdome Riot","2K Games","Shooter",2009,6
"Borderlands: The Zombie Island of Dr. Ned","2K Games","Shooter",2009,8.2
"Braid","Number None","Platform",2009,9.3
"Brave Story: New Traveler","Xseed Games","Role-Playing",2009,7.5
"Brave: A Warrior's Tale","SouthPeak Interactive","Action",2009,4.7
"Broken Sword: Shadow of the Templars - The Director's Cut","Ubisoft","Adventure",2009,7.5
"Brothers in Arms: D-Day","Ubisoft","Shooter",2009,6.9
"Brutal Legend","Electronic Arts","Action",2009,8.5
"Bubble Bobble Neo!","Taito","Puzzle",2009,7.5
"Bubble Trubble","Creat Studio","Puzzle",2009,6
"Burnout Paradise: Big Surf Island","Electronic Arts","Racing",2009,8
"Burnout Paradise: The Ultimate Box","Electronic Arts","Racing",2009,9
"Buzz! Quiz World","Sony Computer Entertainment","Misc",2009,5.9
"BUZZ! Quiz World","Sony Computer Entertainment","Misc",2009,7.8
"C.O.P.: The Recruit","Ubisoft","Action",2009,5.7
"C.O.R.E.","Graffiti","Shooter",2009,4.4
"Cabela's Big Game Hunter 2010","Activision","Sports",2009,5.5
"Call of Duty Classic","Activision","Shooter",2009,7.15
"Call of Duty: Modern Warfare 2","Activision","Shooter",2009,9.25
"Call of Duty: Modern Warfare: Mobilized","Activision","Shooter",2009,7.6
"Call of Duty: Modern Warfare: Reflex Edition","Activision","Shooter",2009,8.05
"Call of Juarez: Bound in Blood","Ubisoft","Shooter",2009,7.7
"Capcom Puzzle World","Capcom","Misc",2009,7.4
"Castlevania III: Dracula's Curse","Capcom","Platform",2009,9
"Castlevania: The Adventure ReBirth","Konami","Platform",2009,8.2
"Ceville","Kalypso","Adventure",2009,9
"Chaotic: Shadow Warriors","Activision","Action",2009,6.2
"Class of Heroes","Atlus","Role-Playing",2009,5.4
"Cloudy with a Chance of Meatballs","Ubisoft","Adventure",2009,6
"Cloudy With a Chance of Meatballs","Ubisoft","Adventure",2009,6.7
"Cloudy With A Chance of Meatballs","Ubisoft","Adventure",2009,6.7
"Cogs","Lazy 8 Studios","Puzzle",2009,7.5
"ColorZ","Exkee","Puzzle",2009,7
"Comet Crash","Pelfast","Strategy",2009,8.5
"Command & Conquer: Red Alert 3 Ultimate Edition","Electronic Arts","Strategy",2009,7.4
"Contra ReBirth","Konami","Shooter",2009,8.1
"Crayon Physics Deluxe","Kloonigames","Puzzle",2009,7.5
"Crimson Gem Saga","Atlus","Role-Playing",2009,7.65
"Critter Crunch","Capybara Games","Puzzle",2009,8.8
"Cross Edge","NIS America","Role-Playing",2009,5.4
"Crush","Sega","Platform",2009,8.5
"Cryostasis: Sleep of Reason","Aspyr","Shooter",2009,7
"Crystal Defenders","Square Enix","Strategy",2009,7.5
"Crystal Defenders R1","Square Enix","Strategy",2009,6.4
"Crystal Defenders R2","Square Enix","Strategy",2009,5.8
"Cursed Mountain","Deep Silver","Adventure",2009,6.3
"Cyber Troopers Virtual-On: Oratorio Tangram Ver. 5.66","Sega","Fighting",2009,7
"Damnation","Codemasters","Shooter",2009,3.6
"Darkest of Days","Phantom EFX","Shooter",2009,4.8
"Dawn of Discovery","Ubisoft","Simulation",2009,8.4
"Dead Rising: Chop Till You Drop","Capcom","Action",2009,6.95
"Dead Space Extraction","Electronic Arts","Shooter",2009,8.2
"Deadly Creatures","THQ","Action",2009,6.85
"Death Tank","Microsoft","Strategy",2009,6.8
"Def Jam Fight for NY: The Takeover","Electronic Arts","Fighting",2009,8
"Demigod","Atari","Strategy",2009,7.2
"Demon's Souls","Atlus","Role-Playing",2009,9.3
"Diner Dash","Big Fish Games","Puzzle",2009,6.4
"Diner Dash","Hudson Soft","Puzzle",2009,6.4
"DiRT 2","Codemasters","Racing",2009,9
"Disgaea 2: Dark Hero Days","NIS America","Role-Playing",2009,8.1
"Disney Sing It: Pop Hits","Disney Interactive Studios","Misc",2009,6.8
"Dissidia: Final Fantasy","Square Enix","Fighting",2009,9.05
"DJ Hero","Activision","Misc",2009,8.6
"DJ Max Fever","PM Studios","Misc",2009,7.7
"Dragon Age Origins: The Stone Prisoner","Electronic Arts","Role-Playing",2009,8
"Dragon Age: Origins","Electronic Arts","Role-Playing",2009,9.1
"Dragon Ball Z: Attack of the Saiyans","Namco Bandai","Role-Playing",2009,7.2
"Dragon Ball: Evolution","Namco Bandai","Fighting",2009,3.4
"Dragon Ball: Raging Blast","Namco Bandai","Fighting",2009,5.8
"Dragon Ball: Revenge of King Piccolo","Namco Bandai","Action",2009,7.05
"Dragon Quest V: Hand of the Heavenly Bride","Square Enix","Role-Playing",2009,8.6
"Dragon Quest Wars","Square Enix","Strategy",2009,8.5
"Drawn to Life: The Next Chapter","THQ","Adventure",2009,7.4
"Drawn to Life: The Next Chapter","THQ","Puzzle",2009,5.8
"Dreamkiller","Aspyr","Shooter",2009,4.6
"Droplitz","Atlus","Puzzle",2009,7.8
"Dynasty Warriors 6 Empires","KOEI","Action",2009,6.4
"Dynasty Warriors: Gundam 2","Namco Bandai","Action",2009,5.9
"Dynasty Warriors: Strikeforce","Tecmo Koei","Action",2009,7.3
"EA Replay","Electronic Arts","Misc",2009,4.9
"EA Sports Active","EA Sports","Sports",2009,8.3
"EA Sports Active: More Workouts","EA Sports","Sports",2009,7.9
"EA Sports Grand Slam Tennis","EA Sports","Sports",2009,7.9
"East India Company","Paradox Interactive","Strategy",2009,7.4
"Eat Lead: The Return of Matt Hazard","D3 Publisher","Shooter",2009,5.5
"Echoes","Halfbrick Studios","Puzzle",2009,7.9
"Elebits: The Adventures of Kai and Zero","Konami","Action",2009,7.4
"Elebits: The Adventures of Kai and Zero","Konami","Adventure",2009,7.5
"Empire: Total War","Sega","Strategy",2009,8.9
"Europa Universalis III: Heir to the Throne","Paradox Interactive","Strategy",2009,8.5
"Excitebike: World Rally","Nintendo","Racing",2009,6.5
"ExciteBots: Trick Racing","Nintendo","Racing",2009,7.7
"F.E.A.R. 2: Project Origin","Warner Bros. Interactive","Shooter",2009,8.35
"F1 2009","Codemasters","Racing",2009,7.4
"Fable II: See the Future","Microsoft Game Studios","Role-Playing",2009,6
"Fading Shadows","Nordcurrent","Puzzle",2009,7
"Fairytale Fights","Playlogic Game Factory","Action",2009,4.9
"Fallen Earth","Icarus Games","Shooter",2009,7
"Fallout 3: Broken Steel","Bethesda Softworks","Role-Playing",2009,7.9
"Fallout 3: Mothership Zeta","Bethesda Softworks","Role-Playing",2009,6.8
"Fallout 3: Point Lookout","Bethesda Softworks","Role-Playing",2009,8.2
"Fat Princess","Sony Computer Entertainment","Action",2009,7.8
"Fatale: Exploring Salome","Tale of Tales","Adventure",2009,7
"Fate/Unlimited Codes Portable","Capcom","Fighting",2009,7.6
"FIFA Manager 10","EA Sports","Sports",2009,7.5
"FIFA Soccer 10","EA Sports","Sports",2009,9
"FIFA Soccer 10 (PSP)","EA Sports","Sports",2009,7.9
"Fight Night Round 4","EA Sports","Fighting",2009,8.7
"Final Fantasy Crystal Chronicles: Echoes of Time","Square Enix","Role-Playing",2009,7.7
"Final Fantasy Crystal Chronicles: My Life as a Darklord","Square Enix","Strategy",2009,7.7
"Final Fantasy Crystal Chronicles: The Crystal Bearers","Square Enix","Adventure",2009,6.7
"Final Fantasy IV: The After Years","Square Enix","Role-Playing",2009,6.8
"Fire Emblem: Shadow Dragon","Nintendo","Strategy",2009,8.2
"FlatOut: Head On","Empire Interactive","Racing",2009,7.3
"Flipnote Studio","Nintendo","Misc",2009,9
"flower","Sony Computer Entertainment","Adventure",2009,8.9
"Flower, Sun, and Rain","Marvelous Interactive","Adventure",2009,5.7
"FlowerWorks","Nocturnal Entertainment","Adventure",2009,7
"Football Manager 2010","Sega","Sports",2009,8.7
"Football Manager Handheld 2010","Sega","Sports",2009,6
"Fortix","Complete-IT","Strategy",2009,6
"Fortix","Nemesys","Strategy",2009,7.4
"Forza Motorsport 3","Microsoft Game Studios","Racing",2009,9.5
"Fossil Fighters","Nintendo","Role-Playing",2009,6.9
"Fuel","Codemasters","Racing",2009,6.6
"G-Force","Disney Interactive Studios","Action",2009,7.5
"G.I. Joe: The Rise of Cobra","Electronic Arts","Action",2009,5.6
"Gardening Mama","Majesco","Puzzle",2009,6.6
"Generation of Chaos","Midas Interactive Entertainment","Strategy",2009,5.9
"Ghostbusters: The Video Game","Atari","Action",2009,7.8
"God of War Collection","Sony Computer Entertainment","Action",2009,9.2
"Gradius ReBirth","Konami","Shooter",2009,7.7
"Gran Turismo (PSP)","Sony Computer Entertainment","Racing",2009,7.8
"Grand Theft Auto IV: The Ballad of Gay Tony","Rockstar Games","Adventure",2009,9
"Grand Theft Auto IV: The Lost and Damned","Rockstar Games","Adventure",2009,9.4
"Grand Theft Auto: Chinatown Wars","Rockstar Games","Adventure",2009,9.55
"Grand Theft Auto: Episodes from Liberty City","Rockstar Games","Adventure",2009,9
"Gravity Crash","Sony Computer Entertainment","Shooter",2009,6.25
"Gridrunner Revolution","Llamasoft","Shooter",2009,8.3
"Guilty Gear XX Accent Core Plus","Aksys Games","Fighting",2009,7.6
"Guitar Hero 5","Activision","Misc",2009,9
"Guitar Hero On Tour: Modern Hits","Activision","Misc",2009,7.3
